Data as of,Start Week,End Week,State,Condition Group,Condition,ICD10_codes,Age Group,Number of COVID-19 Deaths,Flag
8/30/2020,2/1/2020,8/29/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,0-24,122,
8/30/2020,2/1/2020,8/29/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,25-34,596,
8/30/2020,2/1/2020,8/29/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,35-44,1521,
8/30/2020,2/1/2020,8/29/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,45-54,4186,
8/30/2020,2/1/2020,8/29/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,55-64,10014,
8/30/2020,2/1/2020,8/29/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,65-74,16301,
8/30/2020,2/1/2020,8/29/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,75-84,19091,
8/30/2020,2/1/2020,8/29/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,85+,19867,
8/30/2020,2/1/2020,8/29/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,Not stated,2,
8/30/2020,2/1/2020,8/29/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,All ages,71700,
8/30/2020,2/1/2020,8/29/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,0-24,25,
8/30/2020,2/1/2020,8/29/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,25-34,65,
8/30/2020,2/1/2020,8/29/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,35-44,152,
8/30/2020,2/1/2020,8/29/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,45-54,424,
8/30/2020,2/1/2020,8/29/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,55-64,1563,
8/30/2020,2/1/2020,8/29/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,65-74,3460,
8/30/2020,2/1/2020,8/29/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,75-84,4597,
8/30/2020,2/1/2020,8/29/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,85+,4269,
8/30/2020,2/1/2020,8/29/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,Not stated,1,
8/30/2020,2/1/2020,8/29/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,All ages,14556,
8/30/2020,2/1/2020,8/29/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,0-24,62,
8/30/2020,2/1/2020,8/29/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,25-34,245,
8/30/2020,2/1/2020,8/29/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,35-44,649,
8/30/2020,2/1/2020,8/29/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,45-54,1868,
8/30/2020,2/1/2020,8/29/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,55-64,3947,
8/30/2020,2/1/2020,8/29/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,65-74,5992,
8/30/2020,2/1/2020,8/29/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,75-84,5516,
8/30/2020,2/1/2020,8/29/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,85+,4466,
8/30/2020,2/1/2020,8/29/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,Not stated,2,
8/30/2020,2/1/2020,8/29/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,All ages,22747,
8/30/2020,2/1/2020,8/29/2020,US,Respiratory diseases,Respiratory failure,J96,0-24,106,
8/30/2020,2/1/2020,8/29/2020,US,Respiratory diseases,Respiratory failure,J96,25-34,424,
8/30/2020,2/1/2020,8/29/2020,US,Respiratory diseases,Respiratory failure,J96,35-44,1078,
8/30/2020,2/1/2020,8/29/2020,US,Respiratory diseases,Respiratory failure,J96,45-54,3153,
8/30/2020,2/1/2020,8/29/2020,US,Respiratory diseases,Respiratory failure,J96,55-64,7632,
8/30/2020,2/1/2020,8/29/2020,US,Respiratory diseases,Respiratory failure,J96,65-74,13264,
8/30/2020,2/1/2020,8/29/2020,US,Respiratory diseases,Respiratory failure,J96,75-84,15835,
8/30/2020,2/1/2020,8/29/2020,US,Respiratory diseases,Respiratory failure,J96,85+,16007,
