Age,Annual_Income,Spending_Score
56,84,61
69,86,48
46,41,19
32,23,4
60,76,35
25,51,64
38,111,49
56,65,17
36,120,44
40,58,92
28,38,30
28,93,93
41,73,46
53,132,6
57,46,99
41,110,37
20,102,24
39,119,93
19,66,46
41,127,53
61,76,95
47,127,99
55,72,60
19,66,97
38,26,63
50,53,85
29,16,32
39,17,87
61,127,33
42,115,67
66,127,18
44,70,25
59,95,95
45,73,54
33,127,58
32,16,67
64,16,46
68,106,24
61,68,32
69,101,47
20,115,86
54,110,23
68,111,66
24,15,27
38,33,2
26,16,90
56,67,17
35,58,33
21,104,9
42,46,43
31,84,48
67,46,39
26,133,93
43,82,42
19,69,26
37,89,99
45,70,50
64,137,25
24,31,24
61,52,13
25,38,60
64,83,7
52,130,57
31,112,36
34,84,45
53,100,20
67,25,65
57,126,8
21,30,16
19,111,14
23,87,76
59,138,87
21,73,15
46,84,92
35,94,98
43,107,66
61,17,32
51,34,87
27,138,63
53,73,86
31,50,51
48,33,25
65,104,58
32,81,63
25,33,62
31,34,22
40,110,58
57,85,58
38,66,86
33,119,49
62,47,52
35,54,42
64,53,70
41,96,15
43,118,54
42,15,60
62,25,97
58,106,8
46,71,53
32,103,60
62,64,5
18,37,68
42,45,6
24,108,96
26,56,94
41,113,47
18,21,99
61,138,55
25,30,40
41,104,52
28,126,16
68,135,13
34,130,30
25,74,19
52,127,17
52,16,63
50,15,19
22,62,92
59,26,58
56,83,55
58,51,90
45,46,90
24,137,62
26,133,23
25,23,9
29,119,12
51,113,1
50,33,58
65,62,1
40,94,34
41,17,96
54,34,48
52,38,89
61,68,1
57,134,16
39,47,61
44,38,64
52,130,63
18,89,69
52,127,22
54,86,93
64,50,67
31,52,76
20,118,26
18,98,16
22,113,51
43,126,86
31,103,57
56,113,29
44,39,78
26,107,92
32,32,69
32,124,47
43,96,94
59,80,62
30,68,69
68,49,76
49,94,16
56,75,90
66,55,90
69,114,48
49,47,85
21,82,39
47,47,33
54,28,94
40,35,23
56,62,10
62,34,69
32,134,34
60,22,52
46,21,95
53,81,10
30,31,19
49,47,58
24,62,96
68,90,1
39,73,69
45,129,4
19,100,16
59,133,24
62,36,80
23,124,2
45,44,92
45,52,32
61,116,91
61,123,84
37,65,24
47,68,12
28,22,50
45,41,35
42,41,33
56,112,33
50,35,61
18,44,51
44,111,43
69,42,12
30,125,67
58,78,65
20,111,33
56,83,40
